index,Artist,Track,Album,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
19927,ATEEZ,WONDERLAND,TREASURE EP.FIN: All To Action,0.572,0.964,4.0,-1.949,0.123,0.0503,0.0,0.372,0.519,129.979,199013.0,116429615.0,2013676.0,215448.0,91048507.0
18809,Niall Horan,Slow Hands,Flicker (Deluxe),0.735,0.425,0.0,-6.648,0.0464,0.011,0.0,0.055,0.848,85.896,188174.0,227151384.0,2012772.0,46142.0,809141465.0
14261,Kevin Gates,2 Phones,Islah (Deluxe),0.895,0.681,7.0,-5.267,0.358,0.157,0.0,0.189,0.554,121.918,240000.0,329140439.0,2010233.0,63981.0,342603578.0
13133,Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),Dreams Worth More Than Money,0.589,0.658,11.0,-5.288,0.203,0.0242,0.0,0.118,0.251,77.521,223973.0,477015330.0,2009564.0,65407.0,322694397.0
14873,Rita Ora,Let You Love Me,Phoenix (Deluxe Edition),0.475,0.846,10.0,-3.344,0.283,0.275,0.0,0.0824,0.451,96.036,191120.0,508615230.0,2007098.0,29868.0,481857841.0
15196,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - AJR Remix","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.538,0.776,0.0,-4.814,0.201,0.261,0.0,0.201,0.776,94.969,231689.0,479927390.0,1994313.0,26137.0,20287307.0
14483,Nakash Aziz,"The Breakup Song (From ""Ae Dil Hai Mushkil"")",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0.818,0.93,11.0,-2.982,0.247,0.33,0.0,0.658,0.831,113.988,252632.0,387530902.0,1992244.0,40593.0,42231872.0
18409,Nio Garcia,AM Remix,AM Remix,0.743,0.655,6.0,-5.015,0.159,0.114,0.0,0.0764,0.785,172.031,261335.0,313903558.0,1988105.0,41949.0,496587459.0
3486,Shankar-Ehsaan-Loy,Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),0.532,0.529,0.0,-8.402,0.0352,0.334,0.000144,0.078,0.295,81.989,321240.0,261223231.0,1986217.0,74250.0,55843388.0
3595,Snow Patrol,Chasing Cars,Eyes Open,0.56,0.595,9.0,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,104.011,267960.0,314842288.0,1984481.0,62233.0,1034332026.0
9753,2 Chainz,Mercy.1,Kanye West Presents Good Music Cruel Summer,0.556,0.644,6.0,-5.805,0.402,0.0558,2.32e-05,0.35,0.499,140.009,326347.0,262883082.0,1983586.0,99112.0,107854450.0
20598,João Gomes,Se For Amor,Eu Tenho a Senha,0.667,0.899,11.0,-4.402,0.0322,0.423,1.84e-05,0.332,0.835,147.962,239928.0,268455102.0,1981157.0,22148.0,137542151.0
10125,Pixote,Saudade Arregaça,Saudade Arregaça,0.667,0.647,10.0,-9.173,0.0381,0.524,0.0,0.0613,0.962,179.895,194168.0,447341913.0,1981073.0,21058.0,30262724.0
14733,WILLOW,Meet Me At Our Spot - Live,Meet Me At Our Spot (Live),0.694,0.475,2.0,-7.035,0.0345,0.159,3.9e-06,0.103,0.391,94.987,147829.0,119010418.0,1980258.0,44421.0,62626266.0
1707,La Oreja de Van Gogh,Rosas,París,0.783,0.693,9.0,-5.056,0.027,0.622,8.3e-06,0.109,0.528,106.991,237027.0,524734843.0,1978415.0,56274.0,370706500.0
14719,Cults,She Knows (feat. Amber Coffman & Cults),Born Sinner (Deluxe Version),0.766,0.74,1.0,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520.0,195235957.0,1975959.0,39259.0,482921460.0
8127,Depeche Mode,Enjoy the Silence,"Violator | The 12"" Singles",0.626,0.667,0.0,-11.817,0.0283,0.209,0.000257,0.0779,0.83,112.776,257631.0,338084498.0,1973916.0,52694.0,432110849.0
11640,Calle 13,Atrévete-Te-Te,Calle 13 (Explicit Version),0.829,0.878,9.0,-5.951,0.101,0.0959,0.0,0.776,0.883,87.991,239307.0,378574371.0,1968463.0,51113.0,306363981.0
14229,Jeremih,oui,Late Nights: The Album,0.418,0.724,5.0,-3.724,0.0964,0.213,0.0,0.112,0.604,78.521,238320.0,313944626.0,1967490.0,68293.0,550929423.0
10207,Grey,Starving,Starving,0.728,0.616,4.0,-4.238,0.0645,0.378,0.0,0.105,0.508,99.962,181880.0,304834664.0,1966676.0,55579.0,1089163472.0
10752,Kings of Leon,Sex on Fire,Only By The Night,0.542,0.905,9.0,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0,467784552.0,1966436.0,38342.0,1044029601.0
12038,Paramore,Still into You,Paramore,0.602,0.923,5.0,-3.763,0.044,0.0098,0.0,0.0561,0.765,136.01,216013.0,228368871.0,1963185.0,84568.0,545175335.0
10079,Summer Cem,Tamam Tamam,Endstufe (Deluxe Edition),0.886,0.642,6.0,-7.141,0.0995,0.141,0.00427,0.129,0.581,100.015,147120.0,282891471.0,1960513.0,60077.0,147812894.0
19763,Kevin Kaarl,San Lucas,San Lucas,0.577,0.363,7.0,-12.378,0.0263,0.86,0.000282,0.0868,0.265,91.511,247197.0,177827564.0,1941798.0,27769.0,212251328.0
2196,Patrick Watson,Je te laisserai des mots,Je te laisserai des mots,0.303,0.187,2.0,-16.757,0.0356,0.989,0.489,0.101,0.213,132.731,160853.0,88490455.0,1939359.0,3259.0,427523589.0
1217,Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.639,0.703,4.0,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301.0,204264534.0,1936701.0,40031.0,679108210.0
20147,YOASOBI,怪物,THE BOOK 2,0.598,0.847,1.0,-2.54,0.205,0.0655,9.92e-05,0.307,0.728,169.959,205480.0,258798702.0,1933735.0,41404.0,207087539.0
12894,MIKA,Popular Song,Popular Song,0.644,0.84,8.0,-4.808,0.0418,0.162,0.0,0.0599,0.841,99.036,200613.0,209962615.0,1933048.0,124655.0,106312132.0
16832,LUDMILLA,Poesia Acústica 10: Recomeçar,Poesia Acústica 10: Recomeçar,0.739,0.636,8.0,-5.975,0.0737,0.257,0.0,0.175,0.442,142.055,682817.0,152769466.0,1929542.0,83648.0,67597117.0
6631,Savage Garden,Truly Madly Deeply,Savage Garden,0.555,0.698,0.0,-8.874,0.0287,0.403,0.0,0.0851,0.816,168.12,277267.0,416894899.0,1926902.0,55272.0,383783920.0
7271,Warren G,Regulate,Regulate… G Funk Era,0.849,0.521,11.0,-12.999,0.216,0.304,1.65e-06,0.115,0.763,95.265,248867.0,312112930.0,1908761.0,55757.0,411882177.0
18599,Central Cee,Doja,Doja,0.911,0.573,6.0,-7.43,0.288,0.38,0.0,0.403,0.972,140.04,97393.0,92119541.0,1908501.0,37787.0,333039487.0
18711,Grupo Firme,Ya Supérame (En Vivo),Ya Supérame (En Vivo),0.436,0.4,0.0,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,189050.0,357384393.0,1906944.0,19007.0,233793539.0
7111,Blackstreet,No Diggity,Another Level,0.867,0.646,1.0,-4.674,0.288,0.303,0.0,0.279,0.67,88.634,304600.0,323564166.0,1895491.0,34204.0,626845940.0
13570,Kid Cudi,THE SCOTTS,THE SCOTTS,0.716,0.537,0.0,-7.648,0.0514,0.233,0.0,0.157,0.28,129.979,165978.0,63305641.0,1890434.0,52717.0,680687567.0
18037,Rels B,A Mí,A Mí,0.846,0.548,1.0,-6.397,0.256,0.241,0.0713,0.0419,0.516,94.925,209680.0,409317384.0,1880150.0,18187.0,359124980.0
1048,MGMT,Little Dark Age,Little Dark Age,0.705,0.712,6.0,-6.156,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960.0,101732518.0,1875259.0,61844.0,433515389.0
15218,Jay Park,MOMMAE,Worldwide,0.694,0.691,0.0,-4.791,0.287,0.226,0.0,0.104,0.678,93.91,204992.0,144269456.0,1870676.0,49816.0,87047852.0
19356,King Von,Took Her To The O,Levon James,0.82,0.592,1.0,-7.002,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180.0,181099897.0,1860560.0,76087.0,271607088.0
8054,Don Omar,Virtual Diva,iDon,0.785,0.881,8.0,-4.205,0.0505,0.212,0.0,0.753,0.729,113.999,239493.0,452974132.0,1859321.0,48025.0,214313227.0
18548,Ashe,Moral of the Story,Ashlyn,0.569,0.403,10.0,-8.618,0.0439,0.593,4.49e-06,0.102,0.269,119.819,201017.0,81186904.0,1847928.0,33583.0,505682695.0
11150,Jay Sean,Down,All Or Nothing,0.727,0.68,2.0,-4.498,0.0286,0.0101,0.0,0.0821,0.728,132.012,212507.0,329283954.0,1846478.0,86424.0,525143632.0
3865,Grupo Revelação,Deixa Acontecer - Ao Vivo,Ao Vivo - Na Palma da Mão,0.658,0.793,11.0,-6.934,0.0418,0.628,0.0,0.958,0.962,92.889,260493.0,413187334.0,1842597.0,27966.0,83881946.0
18342,OFFICIAL HIGE DANDISM,Pretender,Traveler,0.538,0.869,8.0,-3.464,0.0275,0.047,0.0,0.14,0.369,91.972,326843.0,446934306.0,1841568.0,98258.0,195968210.0
611,blink-182,I Miss You,blink-182,0.664,0.781,11.0,-6.547,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240.0,351164165.0,1840581.0,94913.0,597137046.0
1858,Shania Twain,Man! I Feel Like A Woman!,Come On Over,0.657,0.639,10.0,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,234493.0,337878007.0,1839889.0,37276.0,419591633.0
18503,Cheat Codes,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),0.739,0.619,10.0,-6.669,0.162,0.0572,0.0,0.105,0.58,112.961,222787.0,213077990.0,1824165.0,40051.0,640755393.0
11443,Young Thug,Go Crazy,Slime & B,0.755,0.578,0.0,-8.932,0.145,0.316,0.0,0.25,0.581,94.148,176960.0,161056961.0,1813114.0,56309.0,581510489.0
15352,Justin Quiles,Cuaderno,Climaxxx,0.681,0.648,1.0,-5.021,0.38,0.523,0.0,0.104,0.688,172.02,286507.0,321420853.0,1811460.0,31070.0,350576786.0
8247,Zoé,Labios Rotos - En Vivo,MTV Unplugged Música De Fondo (Reissue/Live),0.579,0.758,11.0,-7.08,0.0281,0.0731,0.00292,0.708,0.288,109.054,243040.0,621954556.0,1810081.0,43581.0,229687617.0
2611,Sting,Desert Rose,Brand New Day,0.577,0.654,0.0,-7.9,0.0321,0.0143,0.0,0.114,0.13,111.993,285893.0,367533164.0,1804098.0,77689.0,102322170.0
5269,Raça Negra,É Tarde Demais,Raça Negra - Vol. 6,0.615,0.403,4.0,-11.648,0.0282,0.425,4.41e-06,0.321,0.454,136.377,214693.0,260424939.0,1803774.0,32669.0,13175636.0
